"Block","Treatment","Surface_area_cm2","Tissue","ID"
2,"CT",400,"Erivag_BladeSheathInflCulm","765"
2,"CT",400,"Erivag_Rhizome","762"
2,"CT",400,"Carbig_BladeSheathInflCulm","860"
2,"CT",400,"Carbig_Rhizome","863"
2,"CT",400,"OtherGraminoid_BladeSheathInflCulm","768"
2,"CT",400,"OtherGraminoid_Rhizome","771"
2,"CT",400,"Betnan_NewLeaves","585"
2,"CT",400,"Betnan_NewStems","820"
2,"CT",400,"Betnan_OldStems","586"
2,"CT",400,"Betnan_Inflor","587"
2,"CT",400,"Betnan_BelowStem","857"
2,"CT",400,"Salpul_NewLeaves","770"
2,"CT",400,"Salpul_NewStems",NA
2,"CT",400,"Salpul_OldStems","773"
2,"CT",400,"Salpul_Inflor",NA
2,"CT",400,"Salpul_BelowStem",NA
2,"CT",400,"Vaculi_NewLeaves",NA
2,"CT",400,"Vaculi_NewStems",NA
2,"CT",400,"Vaculi_OldStems",NA
2,"CT",400,"Vaculi_Inflor",NA
2,"CT",400,"Vaculi_BelowStem",NA
2,"CT",400,"OtherDeciduous_NewLeaves",NA
2,"CT",400,"OtherDeciduous_NewStems",NA
2,"CT",400,"OtherDeciduous_OldStems",NA
2,"CT",400,"OtherDeciduous_Inflor",NA
2,"CT",400,"OtherDeciduous_BelowStem",NA
2,"CT",400,"Ledpal_NewLeaves","842"
2,"CT",400,"Ledpal_NewStems","845"
2,"CT",400,"Ledpal_OldLeaves","848"
2,"CT",400,"Ledpal_OldStems","851"
2,"CT",400,"Ledpal_Inflor","854"
2,"CT",400,"Ledpal_BelowStem","584"
2,"CT",400,"Vacvit_NewLeaves","869"
2,"CT",400,"Vacvit_NewStems","843"
2,"CT",400,"Vacvit_OldLeaves","846"
2,"CT",400,"Vacvit_OldStems","849"
2,"CT",400,"Vacvit_Inflor","870"
2,"CT",400,"Vacvit_BelowStem","852"
2,"CT",400,"Castet_NewStems",NA
2,"CT",400,"Castet_OldStems",NA
2,"CT",400,"Castet_Inflor",NA
2,"CT",400,"Castet_BelowStem",NA
2,"CT",400,"OtherEvergreen_NewLeaves","858"
2,"CT",400,"OtherEvergreen_NewStems","861"
2,"CT",400,"OtherEvergreen_OldLeaves","864"
2,"CT",400,"OtherEvergreen_OldStems","867"
2,"CT",400,"OtherEvergreen_Inflor","426"
2,"CT",400,"OtherEvergreen_BelowStem","441"
2,"CT",400,"Rubcha_LeavesStems",NA
2,"CT",400,"Rubcha_InflorStalks",NA
2,"CT",400,"Rubcha_BelowStem","855"
2,"CT",400,"Petfri_LeavesStems",NA
2,"CT",400,"Petfri_InflorStalks",NA
2,"CT",400,"Petfri_BelowStem",NA
2,"CT",400,"OtherForb_LeavesStems","436"
2,"CT",400,"OtherForb_InflorStalks",NA
2,"CT",400,"OtherForb_BelowStem","439"
2,"CT",400,"Sphagnum_Green","428"
2,"CT",400,"OtherMoss_Green","868"
2,"CT",400,"Lichen_Live","865"
2,"CT",400,"Attached_Wood","447"
2,"CT",400,"Attached_Litter","594"
2,"CT",400,"Loose_Litter",NA
2,"F0.5",400,"Erivag_BladeSheathInflCulm","2008"
2,"F0.5",400,"Erivag_Rhizome","2009"
2,"F0.5",400,"Carbig_BladeSheathInflCulm","1951"
2,"F0.5",400,"Carbig_Rhizome","1952"
2,"F0.5",400,"OtherGraminoid_BladeSheathInflCulm",NA
2,"F0.5",400,"OtherGraminoid_Rhizome",NA
2,"F0.5",400,"Betnan_NewLeaves","1996"
2,"F0.5",400,"Betnan_NewStems","1995"
2,"F0.5",400,"Betnan_OldStems","1997"
2,"F0.5",400,"Betnan_Inflor",NA
2,"F0.5",400,"Betnan_BelowStem","2002"
2,"F0.5",400,"Salpul_NewLeaves","669"
2,"F0.5",400,"Salpul_NewStems","670"
2,"F0.5",400,"Salpul_OldStems","671"
2,"F0.5",400,"Salpul_Inflor",NA
2,"F0.5",400,"Salpul_BelowStem",NA
2,"F0.5",400,"Vaculi_NewLeaves",NA
2,"F0.5",400,"Vaculi_NewStems",NA
2,"F0.5",400,"Vaculi_OldStems",NA
2,"F0.5",400,"Vaculi_Inflor",NA
2,"F0.5",400,"Vaculi_BelowStem",NA
2,"F0.5",400,"OtherDeciduous_NewLeaves",NA
2,"F0.5",400,"OtherDeciduous_NewStems",NA
2,"F0.5",400,"OtherDeciduous_OldStems",NA
2,"F0.5",400,"OtherDeciduous_Inflor",NA
2,"F0.5",400,"OtherDeciduous_BelowStem",NA
2,"F0.5",400,"Ledpal_NewLeaves","1987"
2,"F0.5",400,"Ledpal_NewStems","1988"
2,"F0.5",400,"Ledpal_OldLeaves","1989"
2,"F0.5",400,"Ledpal_OldStems","1990"
2,"F0.5",400,"Ledpal_Inflor","1991"
2,"F0.5",400,"Ledpal_BelowStem","1992"
2,"F0.5",400,"Vacvit_NewLeaves","1981"
2,"F0.5",400,"Vacvit_NewStems","1982"
2,"F0.5",400,"Vacvit_OldLeaves","1983"
2,"F0.5",400,"Vacvit_OldStems","1984"
2,"F0.5",400,"Vacvit_Inflor","1985"
2,"F0.5",400,"Vacvit_BelowStem","1986"
2,"F0.5",400,"Castet_NewStems","796"
2,"F0.5",400,"Castet_OldStems","799"
2,"F0.5",400,"Castet_Inflor","802"
2,"F0.5",400,"Castet_BelowStem",NA
2,"F0.5",400,"OtherEvergreen_NewLeaves","2003"
