"Block","Treatment","Surface_area_cm2","Species","Tissue","ID","Total_mass_g","Growth_form"
1,"F2",400,"OtherForb","LeavesStems",NA,0,"Forb"
1,"F2",400,"OtherForb","InflorStalks",NA,0,"Forb"
1,"F2",400,"OtherForb","BelowStem",NA,0,"Forb"
1,"F2",400,"Sphagnum","Green","74",0.151,"Moss"
1,"F2",400,"OtherMoss","Green","498",6.644,"Moss"
1,"F2",400,"Lichen","Live","71",6.067,"Lichen"
1,"F2",400,"Attached","Wood",NA,0,"Litter"
1,"F2",400,"Attached","Litter","90",0.093,"Litter"
1,"F5",400,"Erivag","BladeSheathInflCulm","93",0.542,"Graminoid"
1,"F5",400,"Erivag","Rhizome",NA,0,"Graminoid"
1,"F5",400,"Carbig","BladeSheathInflCulm","337",3.903,"Graminoid"
1,"F5",400,"Carbig","Rhizome","338",4.056,"Graminoid"
1,"F5",400,"OtherGraminoid","BladeSheathInflCulm","119",3.14,"Graminoid"
1,"F5",400,"OtherGraminoid","Rhizome","96",3.154,"Graminoid"
1,"F5",400,"Betnan","NewLeaves","108",4.109,"Deciduous"
1,"F5",400,"Betnan","NewStems","105",1.054,"Deciduous"
1,"F5",400,"Betnan","OldStems","111",16.788,"Deciduous"
1,"F5",400,"Betnan","Inflor","348",0.009,"Deciduous"
1,"F5",400,"Betnan","BelowStem","114",49.912,"Deciduous"
1,"F5",400,"Salpul","NewLeaves",NA,0,"Deciduous"
1,"F5",400,"Salpul","NewStems",NA,0,"Deciduous"
1,"F5",400,"Salpul","OldStems",NA,0,"Deciduous"
1,"F5",400,"Salpul","Inflor",NA,0,"Deciduous"
1,"F5",400,"Salpul","BelowStem",NA,0,"Deciduous"
1,"F5",400,"Vaculi","NewLeaves",NA,0,"Deciduous"
1,"F5",400,"Vaculi","NewStems",NA,0,"Deciduous"
1,"F5",400,"Vaculi","OldStems",NA,0,"Deciduous"
1,"F5",400,"Vaculi","Inflor",NA,0,"Deciduous"
1,"F5",400,"Vaculi","BelowStem",NA,0,"Deciduous"
1,"F5",400,"OtherDeciduous","NewLeaves","135",0.002,"Deciduous"
1,"F5",400,"OtherDeciduous","NewStems","136",0.004,"Deciduous"
1,"F5",400,"OtherDeciduous","OldStems",NA,0,"Deciduous"
1,"F5",400,"OtherDeciduous","Inflor",NA,0,"Deciduous"
1,"F5",400,"OtherDeciduous","BelowStem",NA,0,"Deciduous"
1,"F5",400,"Ledpal","NewLeaves","118",4.717,"Evergreen"
1,"F5",400,"Ledpal","NewStems","115",2.05,"Evergreen"
1,"F5",400,"Ledpal","OldLeaves","92",4.082,"Evergreen"
1,"F5",400,"Ledpal","OldStems","95",29.091,"Evergreen"
1,"F5",400,"Ledpal","Inflor","98",0.939,"Evergreen"
1,"F5",400,"Ledpal","BelowStem","101",35.372,"Evergreen"
1,"F5",400,"Vacvit","NewLeaves","104",0.148,"Evergreen"
1,"F5",400,"Vacvit","NewStems","107",0.0412,"Evergreen"
1,"F5",400,"Vacvit","OldLeaves","110",0.353,"Evergreen"
1,"F5",400,"Vacvit","OldStems","113",0.234,"Evergreen"
1,"F5",400,"Vacvit","Inflor",NA,0,"Evergreen"
1,"F5",400,"Vacvit","BelowStem","116",1.201,"Evergreen"
1,"F5",400,"Castet","NewStems",NA,0,"Evergreen"
1,"F5",400,"Castet","OldStems",NA,0,"Evergreen"
1,"F5",400,"Castet","Inflor",NA,0,"Evergreen"
1,"F5",400,"Castet","BelowStem",NA,0,"Evergreen"
1,"F5",400,"OtherEvergreen","NewLeaves",NA,0,"Evergreen"
1,"F5",400,"OtherEvergreen","NewStems",NA,0,"Evergreen"
1,"F5",400,"OtherEvergreen","OldLeaves",NA,0,"Evergreen"
1,"F5",400,"OtherEvergreen","OldStems",NA,0,"Evergreen"
