"Block","Treatment","Surface_area_cm2","Species","Tissue","ID"
2,"CT",400,"Erivag","BladeSheathInflCulm","765"
2,"CT",400,"Erivag","Rhizome","762"
2,"CT",400,"Carbig","BladeSheathInflCulm","860"
2,"CT",400,"Carbig","Rhizome","863"
2,"CT",400,"OtherGraminoid","BladeSheathInflCulm","768"
2,"CT",400,"OtherGraminoid","Rhizome","771"
2,"CT",400,"Betnan","NewLeaves","585"
2,"CT",400,"Betnan","NewStems","820"
2,"CT",400,"Betnan","OldStems","586"
2,"CT",400,"Betnan","Inflor","587"
2,"CT",400,"Betnan","BelowStem","857"
2,"CT",400,"Salpul","NewLeaves","770"
2,"CT",400,"Salpul","NewStems",NA
2,"CT",400,"Salpul","OldStems","773"
2,"CT",400,"Salpul","Inflor",NA
2,"CT",400,"Salpul","BelowStem",NA
2,"CT",400,"Vaculi","NewLeaves",NA
2,"CT",400,"Vaculi","NewStems",NA
2,"CT",400,"Vaculi","OldStems",NA
2,"CT",400,"Vaculi","Inflor",NA
2,"CT",400,"Vaculi","BelowStem",NA
2,"CT",400,"OtherDeciduous","NewLeaves",NA
2,"CT",400,"OtherDeciduous","NewStems",NA
2,"CT",400,"OtherDeciduous","OldStems",NA
2,"CT",400,"OtherDeciduous","Inflor",NA
2,"CT",400,"OtherDeciduous","BelowStem",NA
2,"CT",400,"Ledpal","NewLeaves","842"
2,"CT",400,"Ledpal","NewStems","845"
2,"CT",400,"Ledpal","OldLeaves","848"
2,"CT",400,"Ledpal","OldStems","851"
2,"CT",400,"Ledpal","Inflor","854"
2,"CT",400,"Ledpal","BelowStem","584"
2,"CT",400,"Vacvit","NewLeaves","869"
2,"CT",400,"Vacvit","NewStems","843"
2,"CT",400,"Vacvit","OldLeaves","846"
2,"CT",400,"Vacvit","OldStems","849"
2,"CT",400,"Vacvit","Inflor","870"
2,"CT",400,"Vacvit","BelowStem","852"
2,"CT",400,"Castet","NewStems",NA
2,"CT",400,"Castet","OldStems",NA
2,"CT",400,"Castet","Inflor",NA
2,"CT",400,"Castet","BelowStem",NA
2,"CT",400,"OtherEvergreen","NewLeaves","858"
2,"CT",400,"OtherEvergreen","NewStems","861"
2,"CT",400,"OtherEvergreen","OldLeaves","864"
2,"CT",400,"OtherEvergreen","OldStems","867"
2,"CT",400,"OtherEvergreen","Inflor","426"
2,"CT",400,"OtherEvergreen","BelowStem","441"
2,"CT",400,"Rubcha","LeavesStems",NA
2,"CT",400,"Rubcha","InflorStalks",NA
2,"CT",400,"Rubcha","BelowStem","855"
2,"CT",400,"Petfri","LeavesStems",NA
2,"CT",400,"Petfri","InflorStalks",NA
2,"CT",400,"Petfri","BelowStem",NA
2,"CT",400,"OtherForb","LeavesStems","436"
2,"CT",400,"OtherForb","InflorStalks",NA
2,"CT",400,"OtherForb","BelowStem","439"
2,"CT",400,"Sphagnum","Green","428"
2,"CT",400,"OtherMoss","Green","868"
2,"CT",400,"Lichen","Live","865"
2,"CT",400,"Attached","Wood","447"
2,"CT",400,"Attached","Litter","594"
2,"CT",400,"Loose","Litter",NA
2,"F0.5",400,"Erivag","BladeSheathInflCulm","2008"
2,"F0.5",400,"Erivag","Rhizome","2009"
2,"F0.5",400,"Carbig","BladeSheathInflCulm","1951"
2,"F0.5",400,"Carbig","Rhizome","1952"
2,"F0.5",400,"OtherGraminoid","BladeSheathInflCulm",NA
2,"F0.5",400,"OtherGraminoid","Rhizome",NA
2,"F0.5",400,"Betnan","NewLeaves","1996"
2,"F0.5",400,"Betnan","NewStems","1995"
2,"F0.5",400,"Betnan","OldStems","1997"
2,"F0.5",400,"Betnan","Inflor",NA
2,"F0.5",400,"Betnan","BelowStem","2002"
2,"F0.5",400,"Salpul","NewLeaves","669"
2,"F0.5",400,"Salpul","NewStems","670"
2,"F0.5",400,"Salpul","OldStems","671"
2,"F0.5",400,"Salpul","Inflor",NA
2,"F0.5",400,"Salpul","BelowStem",NA
2,"F0.5",400,"Vaculi","NewLeaves",NA
2,"F0.5",400,"Vaculi","NewStems",NA
2,"F0.5",400,"Vaculi","OldStems",NA
2,"F0.5",400,"Vaculi","Inflor",NA
2,"F0.5",400,"Vaculi","BelowStem",NA
2,"F0.5",400,"OtherDeciduous","NewLeaves",NA
2,"F0.5",400,"OtherDeciduous","NewStems",NA
2,"F0.5",400,"OtherDeciduous","OldStems",NA
2,"F0.5",400,"OtherDeciduous","Inflor",NA
2,"F0.5",400,"OtherDeciduous","BelowStem",NA
2,"F0.5",400,"Ledpal","NewLeaves","1987"
2,"F0.5",400,"Ledpal","NewStems","1988"
2,"F0.5",400,"Ledpal","OldLeaves","1989"
2,"F0.5",400,"Ledpal","OldStems","1990"
2,"F0.5",400,"Ledpal","Inflor","1991"
2,"F0.5",400,"Ledpal","BelowStem","1992"
2,"F0.5",400,"Vacvit","NewLeaves","1981"
2,"F0.5",400,"Vacvit","NewStems","1982"
2,"F0.5",400,"Vacvit","OldLeaves","1983"
2,"F0.5",400,"Vacvit","OldStems","1984"
2,"F0.5",400,"Vacvit","Inflor","1985"
2,"F0.5",400,"Vacvit","BelowStem","1986"
2,"F0.5",400,"Castet","NewStems","796"
2,"F0.5",400,"Castet","OldStems","799"
2,"F0.5",400,"Castet","Inflor","802"
2,"F0.5",400,"Castet","BelowStem",NA
