"Block","Treatment","Quad","Surface_area_cm2","Species","Tissue","Mass_g"
1,"F0.5",3,400,"Castet","Inflor",0
1,"F0.5",3,400,"Castet","BelowStem",0
1,"F0.5",3,400,"OtherEvergreen","NewLeaves",0.143
1,"F0.5",3,400,"OtherEvergreen","NewStems",0.058
1,"F0.5",3,400,"OtherEvergreen","OldLeaves",0.049
1,"F0.5",3,400,"OtherEvergreen","OldStems",0.091
1,"F0.5",3,400,"OtherEvergreen","Inflor",0
1,"F0.5",3,400,"OtherEvergreen","BelowStem",0
1,"F0.5",3,400,"Rubcha","LeavesStems",0
1,"F0.5",3,400,"Rubcha","InflorStalks",0
1,"F0.5",3,400,"Rubcha","BelowStem",0.621
1,"F0.5",3,400,"Petfri","LeavesStems",0
1,"F0.5",3,400,"Petfri","InflorStalks",0
1,"F0.5",3,400,"Petfri","BelowStem",0
1,"F0.5",3,400,"OtherForb","LeavesStems",0.064
1,"F0.5",3,400,"OtherForb","InflorStalks",0
1,"F0.5",3,400,"OtherForb","BelowStem",0.024
1,"F0.5",3,400,"Sphagnum","Green",0
1,"F0.5",3,400,"OtherMoss","Green",1.697
1,"F0.5",3,400,"Lichen","Live",4.771
1,"F0.5",3,400,"Attached","Wood",0
1,"F0.5",3,400,"Attached","Litter",41.06
1,"F0.5",3,400,"Loose","Litter",NA
1,"F0.5",4,400,"Erivag","BladeSheathInflCulm",1.652
1,"F0.5",4,400,"Erivag","Rhizome",0.509
1,"F0.5",4,400,"Carbig","BladeSheathInflCulm",0.17
1,"F0.5",4,400,"Carbig","Rhizome",0.177
1,"F0.5",4,400,"OtherGraminoid","BladeSheathInflCulm",0
1,"F0.5",4,400,"OtherGraminoid","Rhizome",0
1,"F0.5",4,400,"Betnan","NewLeaves",0.14
1,"F0.5",4,400,"Betnan","NewStems",0.072
1,"F0.5",4,400,"Betnan","OldStems",0.981
1,"F0.5",4,400,"Betnan","Inflor",0
1,"F0.5",4,400,"Betnan","BelowStem",3.06
1,"F0.5",4,400,"Salpul","NewLeaves",0.499
1,"F0.5",4,400,"Salpul","NewStems",0.084
1,"F0.5",4,400,"Salpul","OldStems",1.125
1,"F0.5",4,400,"Salpul","Inflor",0
1,"F0.5",4,400,"Salpul","BelowStem",5
1,"F0.5",4,400,"Vaculi","NewLeaves",0.137
1,"F0.5",4,400,"Vaculi","NewStems",0.061
1,"F0.5",4,400,"Vaculi","OldStems",0.575
